,PARCEL_NUM,O_NAME,P_NAME,O_ADDR1,O_CITY,O_STATE,O_ZIP,O_CNTRY,SITE_ADDR,S_CITY,S_ZIP,PROP_TYPE,DEED_NUM,DEED_DATE,DEED_TYPE,LAND_FCV,LAND_ASSDV,IMPR_FCV,IMPR_ASSDV,TOTAL_FCV,TOTAL_FCAV,LPV,PUC,LAND_LCC,LAND_LCSC,IMPR_LCC,IMPR_LCSC,RENTAL_IND,prop_class,prop_class_desc,O_NAME_ONE,O_NAME_TWO,MultiplesFlag,In_list_corpo,Is_corpo,Is_top_corpo,north,south,east,west,lat,lng
4143,10290131,YAMASA CO LTD,YAMASA CORPORATION,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,11129 W HEATHERBRAE DR,PHOENIX,85037,RESIDENTIAL,180758056,10/9/18,WD,47000,4700,188000,18800,235000,23500,79521,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,YAMASA CO LTD,,Y,1,1,1,33.4961028,33.4959799,-112.2996335,-112.2997532,33.4960497,-112.2997116
4145,10290137,SRP SUB LLC,INVITATION HOMES,8665 E HARTFORD DR NO 200,SCOTTSDALE,AZ,85255,USA,11215 W HEATHERBRAE DR,PHOENIX,85037,RESIDENTIAL,180104956,2/12/18,SD,46800,4680,187300,18730,234100,23410,78668,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,SRP SUB LLC,,Y,1,1,1,33.4960712,33.4959415,-112.3005362,-112.3006475,33.4960074,-112.3005965
4159,10290197,2018-1 1H BORROWER LP,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,11151 W TURNEY AVE,PHOENIX,85037,RESIDENTIAL,180104958,2/12/18,SD,39000,3900,156300,15630,195300,19530,64504,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-1 IH BORROWER LP,,Y,1,1,1,33.4982472,33.4980828,-112.2997478,-112.2998618,33.4981523,-112.2998048
4160,10290200,2017-2 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,11141 W TURNEY AVE,PHOENIX,85037,RESIDENTIAL,170842995,11/14/17,SD,41600,4160,166500,16650,208100,20810,71330,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,1,1,33.4982618,33.4980855,-112.2993461,-112.2994618,33.498181,-112.2994322
4162,10290206,CSH PROPERTY ONE LLC,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,4347 N 111TH LN,PHOENIX,85037,RESIDENTIAL,170570441,8/3/17,WD,44400,4440,177800,17780,222200,22220,81567,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,CSH PROPERTY ONE LLC,,Y,1,1,1,33.4987301,33.4986414,-112.2987754,-112.2989854,33.4987022,-112.2988734
4169,10290226,PROGRESS RESIDENTIAL BORROWER 11 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,4418 N 111TH LN,PHOENIX,85037,RESIDENTIAL,190794300,10/7/19,SD,52000,5200,208300,20830,260300,26030,101024,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 11 LLC,,Y,1,1,1,33.4997038,33.4995719,-112.2991149,-112.2993303,33.4996296,-112.299246
4174,10290243,AMERICAN RESIDENTIAL LEASING COMPANY LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11218 W TURNEY AVE,PHOENIX,85037,RESIDENTIAL,130282516,3/28/13,SD,45100,4510,180700,18070,225800,22580,81057,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AMERICAN RESIDENTIAL LEASING COMPANY LLC,,Y,1,1,1,33.4985425,33.4984156,-112.300743,-112.3008576,33.4984665,-112.3007827
4187,10290288,YAMASA CO LTD,YAMASA CORPORATION,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,11224 W GLENROSA AVE,PHOENIX,85037,RESIDENTIAL,190992166,12/9/19,WD,44100,4410,176500,17650,220600,22060,77303,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,YAMASA CO LTD,,Y,1,1,1,33.4971717,33.4969817,-112.3008505,-112.3009646,33.4970683,-112.3009225
4188,10290291,2017-2 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,11205 W GLENROSA AVE,PHOENIX,85037,RESIDENTIAL,170842995,11/14/17,SD,45000,4500,180000,18000,225000,22500,80202,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,1,1,33.4968009,33.4966609,-112.3001036,-112.3002198,33.4967517,-112.3001773
4193,10290306,FIRST FINANCIAL LLC,HORIZON FINANCIAL MANAGEMENT,10632 N SCOTTSDALE RD STE B466,SCOTTSDALE,AZ,85254,USA,11307 W GLENROSA AVE,PHOENIX,85037,RESIDENTIAL,130025844,1/9/13,TD,38900,3890,155600,15560,194500,19450,65186,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,FIRST FINANCIAL LLC,,Y,1,1,1,33.4967222,33.4965639,-112.3020591,-112.302187,33.4966319,-112.3021333
4194,10290307,ARP 2014-1 BORROWER LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11311 W GLENROSA AVE,PHOENIX,85037,RESIDENTIAL,140570910,8/28/14,SD,52900,5290,211700,21170,264600,26460,102899,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ARP 2014-1 BORROWER LLC,,Y,1,1,1,33.4967221,33.4965614,-112.302195,-112.3023113,33.4966471,-112.302273
4195,10290311,2017-2 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,4314 N 113TH DR,PHOENIX,85037,RESIDENTIAL,170842995,11/14/17,SD,41800,4180,167400,16740,209200,20920,73377,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,1,1,33.4973761,33.4972854,-112.3023604,-112.3025588,33.4973186,-112.3024593
4199,10290318,2017-2 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,4336 N 113TH DR,PHOENIX,85037,RESIDENTIAL,170842995,11/14/17,SD,41700,4170,166800,16680,208500,20850,73377,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,1,1,33.4981529,33.498061,-112.3023462,-112.3025936,33.4981145,-112.3024897
4208,10290335,STAR 2022-SFR3 BORROWER L P,STARWOOD PROPERTY TRUST,591 W PUTNAM AVE,GREENWICH,CT,06830,USA,4438 N 113TH DR,PHOENIX,85037,RESIDENTIAL,220331437,4/14/22,SD,44400,4440,177800,17780,222200,22220,80202,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STAR 2022-SFR3 BORROWER LP,,Y,1,1,1,33.5002728,33.5001796,-112.3023718,-112.3025847,33.5002197,-112.3025058
4210,10290344,TAH 2017-2 BORROWER LLC,TRICON AMERICAN HOMES,1508 BROOKHOLLOW DR,SANTA ANA,CA,92705,USA,4321 N 113TH DR,PHOENIX,85037,RESIDENTIAL,170944835,12/21/17,SD,50300,5030,201400,20140,251700,25170,95903,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TAH 2017-2 BORROWER LLC,,Y,1,1,1,33.4976605,33.4975677,-112.301908,-112.3021053,33.4976144,-112.3019936
4211,10290348,PROGRESS RESIDENTIAL BORROWER 6 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,11305 W TURNEY AVE,PHOENIX,85037,RESIDENTIAL,190149025,3/4/19,SD,44800,4480,179500,17950,224300,22430,81227,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 6 LLC,,Y,1,1,1,33.498174,33.4979838,-112.301871,-112.3019909,33.4980804,-112.301947
4212,10290354,2018-3 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,11239 W ROMA AVE,PHOENIX,85037,RESIDENTIAL,180504461,7/2/18,SD,47800,4780,191300,19130,239100,23910,87201,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,1,1,33.4988935,33.498768,-112.30157,-112.3016833,33.4988071,-112.301621
4213,10290356,2017-2 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,11233 W ROMA AVE,PHOENIX,85037,RESIDENTIAL,170842995,11/14/17,SD,46800,4680,187400,18740,234200,23420,86687,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,1,1,33.4989034,33.4987458,-112.3013064,-112.3014226,33.4988183,-112.3013416
4219,10290383,PAGAYA SMARTRESI F1 FUND PROPERTY OWNER II LL,RENU PROPERTY MANAGEMENT,1950 E GREYHOUND PASS STE 18 PMB 355,CARMEL,IN,46033,USA,11241 W SELLS DR,PHOENIX,85037,RESIDENTIAL,220463711,5/31/22,WD,50800,5080,203300,20330,254100,25410,97268,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PAGAYA SMARTRESI F1 FUND PROPERTY OWNER II LL,,Y,1,1,1,33.4996078,33.4994442,-112.3015707,-112.3016904,33.4995138,-112.301621
4225,10290398,MILE HIGH TL BORROWER 1 INCOME LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,4403 N 112TH AVE,PHOENIX,85037,RESIDENTIAL,220475103,6/3/22,SD,41700,4170,167000,16700,208700,20870,72012,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,MILE HIGH TL BORROWER 1 INCOME LLC,,Y,1,1,1,33.4990898,33.4989964,-112.2996617,-112.2998796,33.499034,-112.2997582
4226,10290403,OLYMPUS BORROWER LLC,OLYMPUS BORROWER,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,4419 N 112TH AVE,PHOENIX,85037,RESIDENTIAL,211305808,12/9/21,WD,44700,4470,178900,17890,223600,22360,79692,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,OLYMPUS BORROWER LLC,,Y,1,1,1,33.4996526,33.4995588,-112.2997036,-112.2998585,33.4996072,-112.2998048
4228,10290415,2017-1 IH BORROWER LP,INVITATION HOMES,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,11230 W SELLS DR,PHOENIX,85037,RESIDENTIAL,170683029,9/15/17,SD,41800,4180,167500,16750,209300,20930,72524,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,1,1,33.4999995,33.4998288,-112.3011545,-112.3012722,33.4999255,-112.3012019
4230,10290421,2017-1 IH BORROWER LP,INVITATION HOMES,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,11250 W SELLS DR,PHOENIX,85037,RESIDENTIAL,170314434,5/1/17,SD,45600,4560,182500,18250,228100,22810,82765,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,1,1,33.4999844,33.4998003,-112.3019887,-112.3021072,33.4998919,-112.3020401
4231,10290423,RH PARTNERS OWNERCO LLC,THE AMHERST GROUP,5001 PLAZA ON THE LAKE STE 200,AUSTIN,TX,78746,USA,11245 W CAMPBELL AVE,PHOENIX,85037,RESIDENTIAL,190897056,11/7/19,WD,47100,4710,188600,18860,235700,23570,85325,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RH PARTNERS OWNERCO LLC,,Y,1,1,1,33.5003108,33.5001257,-112.3018694,-112.3019864,33.5002005,-112.301947
4235,10290431,PROGRESS RESIDENTIAL BORROWER 6 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,11221 W CAMPBELL AVE,PHOENIX,85037,RESIDENTIAL,190149026,3/4/19,SD,45000,4500,180000,18000,225000,22500,80375,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 6 LLC,,Y,1,1,1,33.5003488,33.500219,-112.3008165,-112.3009313,33.500278,-112.3008759
4237,10290435,TAH 2017-2 BORROWER LLC,TRICON AMERICAN HOMES,1508 BROOKHOLLOW DR,SANTA ANA,CA,92705,USA,11207 W CAMPBELL AVE,PHOENIX,85037,RESIDENTIAL,170944835,12/21/17,SD,44100,4410,176400,17640,220500,22050,78838,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TAH 2017-2 BORROWER LLC,,Y,1,1,1,33.500374,33.50019,-112.3002922,-112.3004081,33.5002915,-112.3003636
4239,10290442,THR PHOENIX LLC,INVITATION HOMES,1121 W WARNER RD STE 110,TEMPE,AZ,85284,USA,11143 W CAMPBELL AVE,PHOENIX,85037,RESIDENTIAL,120840448,9/17/12,WD,50400,5040,201700,20170,252100,25210,96075,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LLC,,Y,1,1,1,33.500406,33.5002465,-112.2993821,-112.2994978,33.5003011,-112.2994322
4244,10290462,PROGRESS RESIDENTIAL BORROWER 4 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,4738 N 111TH LN,PHOENIX,85037,RESIDENTIAL,180589514,8/3/18,SD,56500,5650,226000,22600,282500,28250,123018,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 4 LLC,,Y,1,1,1,33.5050116,33.5048676,-112.2988087,-112.2989886,33.5049288,-112.29892
4246,10290466,PROGRESS RESIDENTIAL BORROWER 4 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,4825 N 111TH GLN,PHOENIX,85037,RESIDENTIAL,180589514,8/3/18,SD,56100,5610,224600,22460,280700,28070,121937,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 4 LLC,,Y,1,1,1,33.5052833,33.5051492,-112.2994563,-112.2996372,33.5052214,-112.2995719
4248,10290487,2018-1 1H BORROWER LP,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,11138 W BRITTLEWOOD DR,PHOENIX,85037,RESIDENTIAL,180104958,2/12/18,SD,51500,5150,206200,20620,257700,25770,106423,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-1 IH BORROWER LP,,Y,1,1,1,33.5044846,33.5042583,-112.2994245,-112.2996526,33.5043572,-112.2995254
4249,10290488,2018-1 1H BORROWER LP,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,11142 W BRITTLEWOOD DR,PHOENIX,85037,RESIDENTIAL,180104958,2/12/18,SD,56100,5610,224700,22470,280800,28080,121470,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-1 IH BORROWER LP,,Y,1,1,1,33.5043776,33.5041989,-112.2995524,-112.2997487,33.5042893,-112.2996651
4250,10290489,PROGRESS RESIDENTIAL BORROWER 11 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,11146 W BRITTLEWOOD DR,PHOENIX,85037,RESIDENTIAL,190794301,10/7/19,SD,56800,5680,227300,22730,284100,28410,122089,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 11 LLC,,Y,1,1,1,33.5043152,33.5041257,-112.2996801,-112.2998853,33.5042214,-112.2998048
4253,10290498,IH6 PROPERTY PHOENIX LP,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,4727 N 112TH GLN,PHOENIX,85037,RESIDENTIAL,160037100,1/20/16,WD,55800,5580,223400,22340,279200,27920,119916,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,IH6 PROPERTY PHOENIX LP LP,,Y,1,1,1,33.5047829,33.5046532,-112.3012071,-112.3013948,33.5047298,-112.301295
4255,10290507,2018-3 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,11324 W ELM ST,PHOENIX,85037,RESIDENTIAL,180504461,7/2/18,SD,53100,5310,212600,21260,265700,26570,109524,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,1,1,33.5048335,33.5046471,-112.3019829,-112.3021184,33.5047554,-112.3020401
4256,10290509,AMERICAN RESIDENTIAL LEASING COMPANY LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11316 W ELM ST,PHOENIX,85037,RESIDENTIAL,130322502,4/10/13,SD,57000,5700,228100,22810,285100,28510,123331,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AMERICAN RESIDENTIAL LEASING COMPANY LLC,,Y,1,1,1,33.5048538,33.5046865,-112.3016526,-112.301817,33.5047754,-112.3017141
4258,10290511,2018-4 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,11317 W PIERSON ST,PHOENIX,85037,RESIDENTIAL,180842209,11/13/18,SD,56600,5660,226600,22660,283200,28320,122865,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-4 IH BORROWER LP,,Y,1,1,1,33.5051915,33.5050417,-112.3019702,-112.3021133,33.5051295,-112.3020401
4259,10290512,PROGRESS RESIDENTIAL BORROWER 9 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,11321 W PIERSON ST,PHOENIX,85037,RESIDENTIAL,190702201,9/9/19,SD,59200,5920,237100,23710,296300,29630,128759,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 9 LLC,,Y,1,1,1,33.5051881,33.5050455,-112.3021594,-112.3022885,33.5051359,-112.3022264
4261,10290516,2018-3 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,11322 W PIERSON ST,PHOENIX,85037,RESIDENTIAL,180504459,7/2/18,SD,59000,5900,236200,23620,295200,29520,128916,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,1,1,33.5057288,33.5055876,-112.3021708,-112.3022951,33.5056763,-112.3022264
4262,10290520,ARP 2014-1 BORROWER LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11232 W PIERSON ST,PHOENIX,85037,RESIDENTIAL,140570910,8/28/14,SD,47000,4700,188000,18800,235000,23500,91529,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ARP 2014-1 BORROWER LLC,,Y,1,1,1,33.5057803,33.505612,-112.3015525,-112.30168,33.5057074,-112.301621
4264,10290530,TAH 2017-2 BORROWER LLC,TRICON AMERICAN HOMES,1508 BROOKHOLLOW DR,SANTA ANA,CA,92705,USA,4815 N 112TH DR,PHOENIX,85037,RESIDENTIAL,170944835,12/21/17,SD,51000,5100,204200,20420,255200,25520,105802,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TAH 2017-2 BORROWER LLC,,Y,1,1,1,33.5050678,33.504913,-112.3002757,-112.3005134,33.50498,-112.3004102
4269,10290555,PROGRESS RESIDENTIAL BORROWER 5 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,11313 W COLLEGE DR,PHOENIX,85037,RESIDENTIAL,180756876,10/9/18,SD,56500,5650,226200,22620,282700,28270,125813,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 5 LLC,,Y,1,1,1,33.5069154,33.5067828,-112.3017943,-112.3019524,33.5068437,-112.3018771
4272,10290564,RH PARTNERS OWNERCO LLC,THE AMHERST GROUP,5001 PLAZA ON THE LAKE STE 200,AUSTIN,TX,78746,USA,11145 W COLLEGE DR,PHOENIX,85037,RESIDENTIAL,190896891,11/7/19,WD,56000,5600,224100,22410,280100,28010,122709,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RH PARTNERS OWNERCO LLC,,Y,1,1,1,33.5069813,33.5068165,-112.3003157,-112.3004288,33.5069009,-112.3003636
4276,10290574,MCH SFR PROPERTY OWNER 2 LLC,MY COMMUNITY HOMES,14355 COMMERCE WAY,MIAMI LAKES,FL,33016,USA,11124 W MARIPOSA DR,PHOENIX,85037,RESIDENTIAL,220062001,1/21/22,WD,55900,5590,223600,22360,279500,27950,120694,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,MCH SFR PROPERTY OWNER 2 LLC,,Y,1,1,1,33.5065827,33.5064325,-112.2995267,-112.2996654,33.5065012,-112.2996185
4278,10290577,AMH 2014-2 BORROWER LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11136 W MARIPOSA DR,PHOENIX,85037,RESIDENTIAL,140639019,9/26/14,SD,56000,5600,224100,22410,280100,28010,123796,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AMH 2014-2 BORROWER LLC,,Y,1,1,1,33.5065705,33.5064115,-112.2999784,-112.3001176,33.5065052,-112.3000376
4279,10290583,MCH SFR PROPERTY OWNER 2 LLC,MY COMMUNITY HOMES,14355 COMMERCE WAY,MIAMI LAKES,FL,33016,USA,11218 W MARIPOSA DR,PHOENIX,85037,RESIDENTIAL,220120534,2/9/22,WD,56500,5650,226000,22600,282500,28250,125038,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,MCH SFR PROPERTY OWNER 2 LLC,,Y,1,1,1,33.506523,33.5063896,-112.3009773,-112.3011054,33.5064452,-112.3010156
4280,10290584,AH4R PROPERTIES LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11222 W MARIPOSA DR,PHOENIX,85037,RESIDENTIAL,150406328,6/8/15,0,56100,5610,224500,22450,280600,28060,124573,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AH4R PROPERTIES LLC,,Y,1,1,1,33.5065165,33.5063832,-112.3011223,-112.3012493,33.5064516,-112.3012019
