,index,PARCEL_NUM,O_NAME,O_ADDR1,O_CITY,O_STATE,O_ZIP,O_CNTRY,SITE_ADDR,S_CITY,S_ZIP,PROP_TYPE,DEED_NUM,DEED_DATE,DEED_TYPE,LAND_FCV,LAND_ASSDV,IMPR_FCV,IMPR_ASSDV,TOTAL_FCV,TOTAL_FCAV,LPV,PUC,LAND_LCC,LAND_LCSC,IMPR_LCC,IMPR_LCSC,RENTAL_IND,prop_class,prop_class_desc,O_NAME_ONE,O_NAME_TWO,MultiplesFlag,In_list_corpo,P_ORG,Is_top_corpo
14,29,10217131,PROGRESS RESIDENTIAL BORROWER 19 LLC,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,4124 N 106TH AVE,PHOENIX,85037,RESIDENTIAL,220415465,12-MAY-2022,SD,44600,4460,178400,17840,223000,22300,66724,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 19 LLC,,Y,1,PROGRESS RESIDENTIAL,1
15,31,10217141,RSTK PHOENIX OWNER 1 L P,717 N HARWOOD ST STE 2800,DALLAS,TX,75201,USA,4125 N 106TH DR,PHOENIX,85037,RESIDENTIAL,220283895,30-MAR-2022,WD,38500,3850,154300,15430,192800,19280,49489,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RSTK PHOENIX OWNER 1 LP,,Y,1,STREETLANE HOMES,1
16,36,10217157,FKH SFR C1 L P,1850 PARKWAY PL SE STE 900,MARIETTA,GA,30067,USA,10523 W HEATHERBRAE DR,PHOENIX,85037,RESIDENTIAL,210788072,20-JUL-2021,SD,38000,3800,152000,15200,190000,19000,59726,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,FKH SFR C1 LP,,Y,1,FIRSTKEY HOMES,1
17,37,10217165,2018-1 1H BORROWER LP,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,4112 N 106TH DR,PHOENIX,85037,RESIDENTIAL,180104958,12-FEB-2018,SD,37800,3780,151300,15130,189100,18910,50512,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
18,40,10217175,EQUITY TRUST COMPANY,225 BURNS RD,ELYRIA,OH,44035,USA,4218 N 106TH DR,PHOENIX,85037,RESIDENTIAL,130272259,26-MAR-2013,00,34100,3410,136700,13670,170800,17080,43174,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,EQUITY TRUST COMPANY,,Y,1,EQUITY TRUST COMPANY,0
19,41,10217182,STARDOM REAL ESTATE LLC,3506 NORTH 24TH ST,PHOENIX,AZ,85016,USA,10522 W HEATHERBRAE DR,PHOENIX,85037,RESIDENTIAL,120111152,10-FEB-2012,TD,43500,4350,174100,17410,217600,21760,62627,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STARDOM REAL ESTATE LLC,,Y,1,STARDOM REAL ESTATE COMPANIES,1
20,42,10217184,ATLAS RESIDENTIAL LLC,6250 E CHENEY DR,PARADISE VALLEY,AZ,85253,USA,10530 W HEATHERBRAE DR,PHOENIX,85037,RESIDENTIAL,100375625,03-MAY-2010,SD,38300,3830,153300,15330,191600,19160,50852,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ATLAS RESIDENTIAL LLC,,Y,1,ATLAS RESIDENTIAL LLC,1
21,45,10217208,AZIMUTH PROPERTY I LLC,19215 SE 34TH ST STE 106 PMB 333,CAMAS,WA,986078830,USA,4312 N 106TH DR,PHOENIX,85037,RESIDENTIAL,180162147,02-MAR-2018,WD,45000,4500,180300,18030,225300,22530,60751,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AZIMUTH PROPERTY I LLC,,Y,1,AZIMUTH PROPERTY I LLC,0
22,46,10217209,RS XII PHOENIX OWNER 2 L P,717 N HARWOOD ST STE 2800,DALLAS,TX,75201,USA,4316 N 106TH DR,PHOENIX,85037,RESIDENTIAL,211003141,16-SEP-2021,WD,48700,4870,195000,19500,243700,24370,78497,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RS XII PHOENIX OWNER 2 LP,,Y,1,STREETLANE HOMES,1
23,48,10217218,AMW001 LLC,1738 ROLLING HILLS DR,PRESCOTT,AZ,86303,USA,10602 W AVENIDA CORDONIZ,PHOENIX,85037,RESIDENTIAL,120070496,27-JAN-2012,WD,50700,5070,203000,20300,253700,25370,70819,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AMW001 LLC,,Y,1,AMW001 LLC,0
