,index,PARCEL_NUM,O_NAME,O_ADDR1,O_CITY,O_STATE,O_ZIP,O_CNTRY,SITE_ADDR,S_CITY,S_ZIP,PROP_TYPE,DEED_NUM,DEED_DATE,DEED_TYPE,LAND_FCV,LAND_ASSDV,IMPR_FCV,IMPR_ASSDV,TOTAL_FCV,TOTAL_FCAV,LPV,PUC,LAND_LCC,LAND_LCSC,IMPR_LCC,IMPR_LCSC,RENTAL_IND,prop_class,prop_class_desc,O_NAME_ONE,O_NAME_TWO,MultiplesFlag,In_list_corpo,P_ORG,Is_top_corpo
353,890,10223109,WAVERLY TWO L L C,16147 E KEOTA DR,FOUNTAIN HILLS,AZ,85268,USA,8452 W PICCADILLY RD,PHOENIX,85037,RESIDENTIAL,970033976,17-JAN-1997,QD,47200,4720,188800,18880,236000,23600,110445,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,WAVERLY TWO LLC,,Y,1,,0
354,893,10223121,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,8638 W PICCADILLY RD,PHOENIX,85037,RESIDENTIAL,170683029,15-SEP-2017,SD,42500,4250,170000,17000,212500,21250,50341,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
355,894,10223124,AZ RENTAL PROPERTIES LLC,P O BOX 894578,MILILANI,HI,96789,USA,3824 N 86TH LN,PHOENIX,85037,RESIDENTIAL,110954483,18-NOV-2011,SD,47700,4770,191100,19110,238800,23880,63311,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AZ RENTAL PROPERTIES LLC,,Y,1,AZ RENTAL PROPERTIES LLC,0
356,898,10223145,2017-2 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,3819 N 84TH LN,PHOENIX,85037,RESIDENTIAL,170842995,14-NOV-2017,SD,47100,4710,188600,18860,235700,23570,112634,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,INVITATION HOMES,1
357,899,10223148,SWH 2017-1 BORROWER LP,8665 E HARTFORD DR SUITE 200,SCOTTSDALE,AZ,85255,USA,3807 N 84TH LN,PHOENIX,85037,RESIDENTIAL,170724308,29-SEP-2017,SD,50500,5050,202100,20210,252600,25260,123135,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,SWH 2017-1 BORROWER LP,,Y,1,INVITATION HOMES,1
358,902,10223170,VM MASTER ISSUER LLC,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN,TX,78746,USA,8517 W INDIANOLA AVE,PHOENIX,85037,RESIDENTIAL,220318552,11-APR-2022,SD,47800,4780,191400,19140,239200,23920,68431,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,VM MASTER ISSUER LLC,,Y,1,THE AMHERST GROUP LLC,1
359,904,10223173,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,8501 W INDIANOLA AVE,PHOENIX,85037,RESIDENTIAL,170314434,01-MAY-2017,SD,49700,4970,198900,19890,248600,24860,67066,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
360,905,10223189,ARIZONA ACQUISITION ENTERPRISES LLC,205 N KINNEY AVE,MOUNT PLEASANT,MI,48858,USA,8505 W FAIRMOUNT AVE,PHOENIX,85037,RESIDENTIAL,220536873,29-JUN-2022,WD,46600,4660,186400,18640,233000,23300,61432,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ARIZONA ACQUISITION ENTERPRISES LLC,,Y,1,,0
361,910,10223206,REOMJB LLC,4850 DEL MAR MESA RD,SAN DIEGO,CA,92130,USA,8618 W FAIRMOUNT AVE,PHOENIX,85037,RESIDENTIAL,180120486,16-FEB-2018,SD,42900,4290,171700,17170,214600,21460,59044,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,REOMJB LLC,,Y,1,REOMJB LLC,0
362,912,10223228,LIVINGSTON ACQUISITION I LLC,8630 W CLARENDON AVE,PHOENIX,AZ,85307,USA,8630 W CLARENDON AVE,PHOENIX,85037,RESIDENTIAL,110544975,29-JUN-2011,WD,44900,4490,179900,17990,224800,22480,57680,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,LIVINGSTON ACQUISITION I LLC,,Y,1,LIVINGSTON ACQUISITION I LLC,0
363,914,10223240,LA CASITA PROPERTIES LLC,PO BOX 264,CASHION,AZ,85329,USA,3828 N 86TH AVE,PHOENIX,85037,RESIDENTIAL,120140200,21-FEB-2012,SD,47200,4720,189000,18900,236200,23620,62457,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,LA CASITA PROPERTIES LLC,,Y,1,LA CASITA PROPERTIES LLC,0
364,915,10223247,CERBERUS SFR HOLDINGS L P,1850 PARKWAY PL STE 900,MARIETTA,GA,30067,USA,3636 N 86TH LN,PHOENIX,85037,RESIDENTIAL,180197729,15-MAR-2018,WD,46300,4630,185500,18550,231800,23180,116527,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,CERBERUS SFR HOLDINGS LP,,Y,1,FIRSTKEY HOMES,1
365,920,10223268,2017-2 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,3623 N 87TH AVE,PHOENIX,85037,RESIDENTIAL,170842995,14-NOV-2017,SD,47400,4740,189700,18970,237100,23710,66552,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,INVITATION HOMES,1
366,925,10223285,2018-3 IH BORROWER LP,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,8639 W CLARENDON AVE,PHOENIX,85037,RESIDENTIAL,180504460,02-JUL-2018,SD,47600,4760,190600,19060,238200,23820,63652,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,INVITATION HOMES,1
367,926,10223294,CERECERES BROTHERS LLC,6605 N CITRUS RD,WADDELL,AZ,85355,USA,3614 N 86TH AVE,PHOENIX,85037,RESIDENTIAL,220267693,25-MAR-2022,WD,47100,4710,188700,18870,235800,23580,60751,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,CERECERES BROTHERS LLC,,Y,1,CERECERES BROTHERS LLC,0
368,927,10223296,SFR ACQUISITIONS 2 LLC,6500 INTERNATIONAL PARKWAY STE 1100,PLANO,TX,75093,USA,3602 N 86TH AVE,PHOENIX,85037,RESIDENTIAL,220406171,10-MAY-2022,WD,47400,4740,189900,18990,237300,23730,63652,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,SFR ACQUISITIONS 2 LLC,,Y,1,HOME PARTNERS / PATHLIGHT PROPERTY MANAGEMENT,1
369,931,10223317,BEGON INVESTMENTS LLC,5632 VAN NUYS BLVD,SHERMAN OAKS,CA,91401,USA,8525 W CLARENDON AVE,PHOENIX,85037,RESIDENTIAL,170038971,18-JAN-2017,WD,48800,4880,195500,19550,244300,24430,126461,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,BEGON INVESTMENTS LLC,,Y,1,BEGON INVESTMENTS LLC,0
370,933,10223323,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,8433 W CLARENDON AVE,PHOENIX,85037,RESIDENTIAL,170683029,15-SEP-2017,SD,45400,4540,181900,18190,227300,22730,59044,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
371,935,10223330,MCH SFR PROPERTY OWNER 2 LLC,14355 COMMERCE WAY,MIAMI LAKES,FL,33016,USA,8432 W COLUMBUS AVE,PHOENIX,85037,RESIDENTIAL,220210228,08-MAR-2022,WD,46100,4610,184400,18440,230500,23050,60751,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,MCH SFR PROPERTY OWNER 2 LLC,,Y,1,MY COMMUNITY HOMES,1
372,941,10223367,FKH SFR C1 L P,1850 PARKWAY PL SE STE 900,MARIETTA,GA,30067,USA,8514 W OSBORN RD,PHOENIX,85037,RESIDENTIAL,210788071,20-JUL-2021,SD,46900,4690,187900,18790,234800,23480,63311,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,FKH SFR C1 LP,,Y,1,FIRSTKEY HOMES,1
373,946,10223412,LINCK HOLDINGS LLC,6423 E MARIA DR,CAVE CREEK,AZ,85331,USA,3444 N 86TH AVE,PHOENIX,85037,RESIDENTIAL,100398971,11-MAY-2010,SD,47100,4710,188500,18850,235600,23560,63141,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,LINCK HOLDINGS LLC,,Y,1,LINCK HOLDINGS LLC,0
374,949,10223418,REO PROPERTY MANAGEMENT LLC,PO BOX 13144,SCOTTSDALE,AZ,852673144,USA,8633 W COLUMBUS AVE,PHOENIX,85037,RESIDENTIAL,180795396,24-OCT-2018,WD,47500,4750,190000,19000,237500,23750,63481,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,REO PROPERTY MANAGEMENT LLC,,Y,1,,0
375,950,10223425,LYNN COLE CAPITAL CORPORATION,11445 E VIA LINDA STE 2-616,SCOTTSDALE,AZ,85259,USA,8616 W WHITTON AVE,PHOENIX,85037,RESIDENTIAL,120838008,17-SEP-2012,QD,49100,4910,196600,19660,245700,24570,66724,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,LYNN COLE CAPITAL CORPORATION,,Y,1,,0
376,953,10223432,STARDOM PORTFOLIO 1 LLC,3506 N 24TH ST,PHOENIX,AZ,85016,USA,8640 W MITCHELL DR,PHOENIX,85037,RESIDENTIAL,150605536,20-AUG-2015,SD,48300,4830,193400,19340,241700,24170,115696,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STARDOM PORTFOLIO 1 LLC,,Y,1,STARDOM REAL ESTATE COMPANIES,1
377,956,10223457,IH2 PROPERTY BORROWER LP,1717 MAIN ST SUITE 2000,DALLAS,TX,75201,USA,3433 N 87TH AVE,PHOENIX,85037,RESIDENTIAL,220353502,21-APR-2022,SD,47400,4740,189900,18990,237300,23730,66724,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,IH2 PROPERTY BORROWER LP,,Y,1,INVITATION HOMES,1
378,960,10223483,CHERRY ROSE HOME RENTALS LLC,8205 W VERMONT AVE,GLENDALE,AZ,85303,USA,8325 W WHITTON AVE,PHOENIX,85037,RESIDENTIAL,960875106,17-DEC-1996,WD,44300,4430,177400,17740,221700,22170,57335,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,CHERRY ROSE HOME RENTALS LLC,,Y,1,ALPHA HOMES MANAGEMENT INC,1
379,964,10223517A,THR PHOENIX LP,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,8337 W CLARENDON AVE,PHOENIX,85037,RESIDENTIAL,170842994,14-NOV-2017,SD,53700,5370,215000,21500,268700,26870,86518,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LP,,Y,1,INVITATION HOMES,1
380,968,10223550,RSTK PHOENIX OWNER 1 L P,717 N HARWOOD ST STE 2800,DALLAS,TX,75201,USA,8331 W INDIANOLA AVE,PHOENIX,85037,RESIDENTIAL,220287857,31-MAR-2022,WD,47900,4790,191700,19170,239600,23960,67406,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RSTK PHOENIX OWNER 1 LP,,Y,1,STREETLANE HOMES,1
381,971,10223559,RESICAP ARIZONA OWNER II LLC,3630 PEACHTREE RD NE STE 1500,ATLANTA,GA,30326,USA,8308 W INDIANOLA AVE,PHOENIX,85037,RESIDENTIAL,220479297,06-JUN-2022,WD,46400,4640,185700,18570,232100,23210,63141,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RESICAP ARIZONA OWNER II LLC,,Y,1,RESICAP,0
382,976,10223590,AZ RENTAL PROPERTIES LLC,P O BOX 894578,MILILANI,HI,96789,USA,3640 N 84TH DR,PHOENIX,85037,RESIDENTIAL,110954482,18-NOV-2011,SD,46200,4620,184800,18480,231000,23100,62627,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AZ RENTAL PROPERTIES LLC,,Y,1,AZ RENTAL PROPERTIES LLC,0
383,978,10223603,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,3101 N 90TH DR,PHOENIX,85037,RESIDENTIAL,170314434,01-MAY-2017,SD,46000,4600,184200,18420,230200,23020,63141,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
384,980,10223607,RH EVERGREEN OWNERCO LLC,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN,TX,78746,USA,3102 N 90TH AVE,PHOENIX,85037,RESIDENTIAL,220356209,22-APR-2022,SD,45700,4570,182800,18280,228500,22850,61432,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RH EVERGREEN OWNERCO LLC,,Y,1,THE AMHERST GROUP LLC,1
385,985,10223631,TAH 2017-1 BORROWER LLC,1508 BROOKHOLLOW DR,SANTA ANA,CA,92705,USA,3064 N 89TH LN,PHOENIX,85037,RESIDENTIAL,170628102,25-AUG-2017,SD,49100,4910,196400,19640,245500,24550,66552,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TAH 2017-1 BORROWER LLC,,Y,1,TRICON RESIDENTIAL,1
386,986,10223646,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,3063 N 89TH DR,PHOENIX,85037,RESIDENTIAL,170314434,01-MAY-2017,SD,46000,4600,184300,18430,230300,23030,64334,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
387,988,10223654,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,8951 W CHEERY LYNN RD,PHOENIX,85037,RESIDENTIAL,170314434,01-MAY-2017,SD,46000,4600,184200,18420,230200,23020,59044,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
388,990,10223659,2018-1 1H BORROWER LP,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,9009 W CHEERY LYNN RD,PHOENIX,85037,RESIDENTIAL,180104958,12-FEB-2018,SD,47200,4720,188800,18880,236000,23600,65016,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
389,992,10223678,THR PHOENIX LP,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,9017 W FLOWER ST,PHOENIX,85037,RESIDENTIAL,200159062,25-FEB-2020,SD,41900,4190,167700,16770,209600,20960,53755,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LP,,Y,1,INVITATION HOMES,1
390,993,10223679,HPA ARIZONA I LLC,6500 INTERNATIONAL PKWY STE 1100,PLANO,TX,75093,USA,9013 W FLOWER ST,PHOENIX,85037,RESIDENTIAL,211010915,20-SEP-2021,WD,44100,4410,176700,17670,220800,22080,61775,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,HPA ARIZONA I LLC,,Y,1,HOME PARTNERS / PATHLIGHT PROPERTY MANAGEMENT,1
391,995,10223689,THR PHOENIX LLC,1121 W WARNER RD STE 110,TEMPE,AZ,85284,USA,8917 W FLOWER ST,PHOENIX,85037,RESIDENTIAL,120710184,09-AUG-2012,WD,44400,4440,177600,17760,222000,22200,59897,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LLC,,Y,1,INVITATION HOMES,1
392,998,10223695,CHODOCK HOLDINGS NO 3 LLC,10040 E HAPPY VALLEY RD,SCOTTSDALE,AZ,85255,USA,8938 W FLOWER ST,PHOENIX,85037,RESIDENTIAL,110951853,17-NOV-2011,TD,44200,4420,176800,17680,221000,22100,59726,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,CHODOCK HOLDINGS NO 3 LLC,,Y,1,SCOTTSDALE LUXURY GROUP,0
393,1001,10223702,DJ & O PROPERTIES LLC,3502 E NORTH LN,PHOENIX,AZ,85028,USA,9022 W FLOWER ST,PHOENIX,85037,RESIDENTIAL,160184396,22-MAR-2016,CV,44400,4440,177600,17760,222000,22200,60580,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,DJ & O PROPERTIES LLC,,Y,1,DJ & O PROPERTIES LLC,0
394,1004,10223715,TODD INVESTMENTS LLC,8776 E SHEA  BLVD STE 106-311,SCOTTSDALE,AZ,85260,USA,8933 W MULBERRY DR,PHOENIX,85037,RESIDENTIAL,100037265,15-JAN-2010,SD,44600,4460,178600,17860,223200,22320,110709,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TODD INVESTMENTS LLC,,Y,1,TODD INVESTMENTS LLC,0
395,1009,10223746,THR PHOENIX LP,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,9013 W OSBORN RD,PHOENIX,85037,RESIDENTIAL,200159062,25-FEB-2020,SD,46400,4640,185700,18570,232100,23210,73036,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LP,,Y,1,INVITATION HOMES,1
396,1010,10223750,2018-1 1H BORROWER LP,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,8941 W OSBORN RD,PHOENIX,85037,RESIDENTIAL,180104958,12-FEB-2018,SD,46400,4640,185800,18580,232200,23220,72695,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
397,1014,10223768,RSTK PHOENIX OWNER 1 L P,717 N HARWOOD ST STE 2800,DALLAS,TX,75201,USA,3140 N 89TH AVE,PHOENIX,85037,RESIDENTIAL,220212270,08-MAR-2022,SD,45800,4580,183300,18330,229100,22910,62796,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RSTK PHOENIX OWNER 1 LP,,Y,1,STREETLANE HOMES,1
398,1018,10223783,STARDOM RENTALS 2 LLC,3506 N 24TH ST,PHOENIX,AZ,85016,USA,8447 W OSBORN RD,PHOENIX,85037,RESIDENTIAL,201188809,03-DEC-2020,SD,47600,4760,190500,19050,238100,23810,78157,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STARDOM RENTALS 2 LLC,,Y,1,STARDOM REAL ESTATE COMPANIES,1
399,1020,10223804,WEST VALLEY RENTALS LLC,2472 W ENFIELD WAY,CHANDLER,AZ,85286,USA,8434 W CORA LN,PHOENIX,85037,RESIDENTIAL,170871757,22-NOV-2017,WD,47900,4790,191800,19180,239700,23970,76449,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,WEST VALLEY RENTALS LLC,,Y,1,,0
400,1021,10223810,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,3312 N 84TH LN,PHOENIX,85037,RESIDENTIAL,170314434,01-MAY-2017,SD,44700,4470,178800,17880,223500,22350,66724,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
401,1024,10223820,STAR 2022-SFR3 BORROWER L P,591 W PUTNAM AVE,GREENWICH,CT,06830,USA,3310 N 84TH DR,PHOENIX,85037,RESIDENTIAL,220331437,14-APR-2022,SD,45200,4520,181000,18100,226200,22620,67747,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STAR 2022-SFR3 BORROWER LP,,Y,1,INVITATION HOMES,1
402,1025,10223821,STAR 2022-SFR3 BORROWER L P,591 W PUTNAM AVE,GREENWICH,CT,06830,USA,3306 N 84TH DR,PHOENIX,85037,RESIDENTIAL,220331437,14-APR-2022,SD,50700,5070,202900,20290,253600,25360,85325,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STAR 2022-SFR3 BORROWER LP,,Y,1,INVITATION HOMES,1
403,1027,10223824,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,3331 N 84TH AVE,PHOENIX,85037,RESIDENTIAL,170314434,01-MAY-2017,SD,47900,4790,191800,19180,239700,23970,76279,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
404,1028,10223829,ARP 2014-1 BORROWER LLC,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,3324 N 83RD DR,PHOENIX,85037,RESIDENTIAL,140570910,28-AUG-2014,SD,51400,5140,205600,20560,257000,25700,90443,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ARP 2014-1 BORROWER LLC,,Y,1,AMERICAN HOMES 4 RENT,1
405,1034,10223854,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,8416 W MONTEREY WY,PHOENIX,85037,RESIDENTIAL,170314434,01-MAY-2017,SD,47500,4750,190100,19010,237600,23760,75938,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
406,1037,10223859,QUANTUM INVESTMENT LLC,8876 PIPESTONE WAY,SAN DIEGO,CA,921292182,USA,8322 W MONTEREY WY,PHOENIX,85037,RESIDENTIAL,170020324,10-JAN-2017,QD,49800,4980,199200,19920,249000,24900,83618,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,QUANTUM INVESTMENT LLC,,Y,1,QUANTUM INVESTMENT LLC,0
407,1038,10223863,RASCON BROTHERS INVESTMENTS INC,330 S GILBERT RD SUITE 11,MESA,AZ,85204,USA,8306 W MONTEREY WY,PHOENIX,85037,RESIDENTIAL,120004961,04-JAN-2012,WD,47400,4740,189600,18960,237000,23700,75427,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RASCON BROTHERS INVESTMENTS INC,,Y,1,RASCON BROTHERS INVESTMENTS INC,0
408,1039,10223865,RED GROUND EQUITIES LP,4500 N 32ND ST SUITE 200,PHOENIX,AZ,85018,USA,8303 W MONTEREY WY,PHOENIX,85037,RESIDENTIAL,160910970,09-DEC-2016,SD,46300,4630,185500,18550,231800,23180,70988,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RED GROUND EQUITIES LP,,Y,1,METROPOLITAN REAL ESTATE,1
409,1046,10223900,AMH 2014-2 BORROWER LLC,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,8443 W FLOWER ST,PHOENIX,85037,RESIDENTIAL,140639020,26-SEP-2014,SD,50100,5010,200400,20040,250500,25050,83789,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AMH 2014-2 BORROWER LLC,,Y,1,AMERICAN HOMES 4 RENT,1
410,1047,10223906,FKH SFR PROPCO B-HLD LP,1850 PARKWAY PL STE 900,MARIETTA,GA,30067,USA,3313 N 85TH LN,PHOENIX,85037,RESIDENTIAL,201012708,21-OCT-2020,SD,49900,4990,199800,19980,249700,24970,83618,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,FKH SFR PROPCO B-HLD LP,,Y,1,FIRSTKEY HOMES,1
411,1048,10223910,CAYENNE INVESTMENTS LLC,111 E DUNLAP AVE NO 1-309,PHOENIX,AZ,85020,USA,3329 N 85TH LN,PHOENIX,85037,RESIDENTIAL,100943911,28-OCT-2010,SD,47600,4760,190500,19050,238100,23810,75427,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,CAYENNE INVESTMENTS LLC,,Y,1,CAYENNE INVESTMENTS LLC,0
412,1049,10223949,FERGUS PROPERTIES LLC,7552 N DENVER AVE,PORTLAND,OR,97217,USA,3255 N 84TH AVE,PHOENIX,85037,RESIDENTIAL,190379457,23-MAY-2019,WD,54000,5400,216200,21620,270200,27020,153398,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,FERGUS PROPERTIES LLC,,Y,1,FERGUS PROPERTIES LLC,0
413,1050,10223952,FERGUS PROPERTIES LLC,7552 N DENVER AVE,PORTLAND,OR,97217,USA,3243 N 84TH AVE,PHOENIX,85037,RESIDENTIAL,200136508,18-FEB-2020,WD,53600,5360,214400,21440,268000,26800,144542,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,FERGUS PROPERTIES LLC,,Y,1,FERGUS PROPERTIES LLC,0
414,1053,10224030,SOCIAL HOUSES LLC,315 N 31ST AVE,PHOENIX,AZ,85009,USA,8935 W COLUMBUS AVE,PHOENIX,85037,RESIDENTIAL,220372594,28-APR-2022,WD,48000,4800,192200,19220,240200,24020,65359,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,SOCIAL HOUSES LLC,,Y,1,SOCIAL HOUSES LLC,0
415,1055,10224033,2018-2 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS,TX,752014657,USA,8953 W COLUMBUS AVE,PHOENIX,85037,RESIDENTIAL,180353712,09-MAY-2018,SD,46200,4620,184800,18480,231000,23100,58874,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-2 IH BORROWER LP,,Y,1,INVITATION HOMES,1
416,1056,10224036,15 UP-VW ENTERPRISES LLC,11201 N TATUM BLVD PMB91557,PHOENIX,AZ,85028,USA,9007 W COLUMBUS AVE,PHOENIX,85037,RESIDENTIAL,190174947,13-MAR-2019,WD,48100,4810,192700,19270,240800,24080,65701,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,15 UP-VW ENTERPRISES LLC,,Y,1,MARKET EDGE REALTY LLC,1
417,1061,10224093,STARDOM REAL ESTATE LLC,3506 N 24TH ST,PHOENIX,AZ,85016,USA,8960 W CLARENDON AVE,PHOENIX,85037,RESIDENTIAL,111072788,29-DEC-2011,TD,47900,4790,191600,19160,239500,23950,114210,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STARDOM REAL ESTATE LLC,,Y,1,STARDOM REAL ESTATE COMPANIES,1
418,1064,10224108,TAH MS BORROWER LLC,PO BOX 15086,SANTA ANA,CA,92735,USA,3644 N 89TH AVE,PHOENIX,85037,RESIDENTIAL,170793309,26-OCT-2017,SD,47100,4710,188600,18860,235700,23570,67747,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TAH MS BORROWER LLC,,Y,1,TRICON RESIDENTIAL,1
